ID,Name,Price,Quantity,Category
92,"Schneider Electric Harmony Electromechanical Relays, 6A, 4CO, With LED, Lockable Test But To N, 230V AC","KSh 1,080",228,Home & Office
93,Fashion 17 Pcs Golden Rings Women Bohemian Rings Jewelry,KSh 299,430,Fashion
94,"XIAOMI Redmi A3, 6.71"", 4GB RAM +128GB (Dual SIM), 5000mAh, Midnight Black (Newest Model)","KSh 9,999",87,Phones & Tablets
95,Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,"KSh 18,820",448,Electronics
96,"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Mystery White (1YR WRTY)","KSh 8,940",181,Phones & Tablets
97,Fashion Elegant Studed Ladies Wristwatch With Hand Chain-Rose Gold,KSh 512,245,Fashion
98,RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 462,144,Phones & Tablets
99,"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,430",88,Electronics
100,Fashion Men's 2 In 1 Short Sleeve T-Shirt & Shorts Set- Black,KSh 830,476,Fashion
101,Kitchen Utensils 5 Piece Set-Black,KSh 495,348,Home & Office
102,Artificial Flower Plant Potted Bonsai Garden Home Table Party Room Decoration-Purple Red,KSh 202,362,Home & Office
103,"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black","KSh 8,999",473,Phones & Tablets
104,LED 2.4G Rechargeable Wireless Mouse,KSh 375,199,Computing
105,"Tecno Spark 20C - 6.6'' - 256GB HDD + 4GB RAM + (8GB RAM Extended) - 50MP Rear/8 MP Front, 5000mAh 18W -Gravity Black","KSh 13,999",180,Phones & Tablets
106,"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Starlit Black","KSh 11,999",184,Phones & Tablets
107,"Oale POP 8 - 6.6"", 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5057mAh, 3G - Black","KSh 7,999",215,Phones & Tablets
108,"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black","KSh 8,940",212,Phones & Tablets
109,"Itel S24, 6.6'', 128GB + 4GB (Extended UPTO 8GB) RAM, 5000mAh, Dawn White (1YR WRTY)","KSh 14,100",135,Phones & Tablets
110,"Tecno Camon 30, 6.78"", 256GB + 8GB RAM (+8GB Extended), Dual SIM, 5000mAh, 4G, Iceland Basaltic Dark","KSh 29,060",481,Phones & Tablets
111,"Itel A60s, 6.6"", 128GB + 4GB RAM, Dual SIM, 5000mAh, 4G -?Shadow Black (1YR WRTY)","KSh 10,500",414,Phones & Tablets
112,"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Luxurious Gold","KSh 8,940",349,Phones & Tablets
113,"Oale HOT 40i -  6.6"" 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5075mAh, 3G  - Gold","KSh 7,890",386,Phones & Tablets
114,"Itel 5609 - 1.77"" (Dual SIM) - Wireless FM, 2500mAh - Black (1YR WRTY)","KSh 1,790",248,Phones & Tablets
115,"Samsung  GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue","KSh 17,999",254,Phones & Tablets
